label,C ,C#,D ,D#,E ,F ,F#,G ,G#,A ,A#,B 
A# Maj,0.813165462,1.347187078,1.938253969,1.872116187,2.67109159,3.146762168,1.725625257,0.512342356,0.553945069,2.812771726,3.795970761,2.02604489
A# Maj,0.455158245,1.25444255,2.123711268,1.377974467,2.126221308,3.416760785,1.737184936,0.259914672,0.322465565,2.489999746,4,2.040101477
A# Maj,0.353575076,1.257844771,2.173757371,1.153997354,1.893705064,3.410051232,1.724417721,0.166853043,0.235494314,2.45573177,4,1.957327576
A# Maj,0.344676533,1.284510726,2.22113737,1.154181511,1.901825261,3.4929286,1.76829906,0.165302956,0.236302417,2.406402955,4,2.001744241
A# Maj,0.331756954,1.29491016,2.246350228,1.140724656,1.908661124,3.478973398,1.784887517,0.160016861,0.22872439,2.418999974,4,1.955595783
A# Maj,0.327749763,1.296062687,2.252089773,1.158585214,1.904582287,3.497942451,1.778822047,0.161383728,0.229458448,2.422661405,4,1.962926393
A# Maj,0.330983901,1.315926215,2.278447155,1.189727903,1.909516595,3.504255192,1.756141386,0.144888498,0.2277323,2.412738548,4,1.99125565
A# Maj,0.326527609,1.341880222,2.281740393,1.169443757,1.927936314,3.458921555,1.721562131,0.129531658,0.227450781,2.450607918,4,1.923925318
A# Maj,0.32848709,1.327063213,2.316661431,1.178091061,1.918200989,3.509160569,1.741194019,0.138445318,0.227775063,2.433953498,4,1.963708735
A# Maj,0.33320096,1.347572392,2.330954917,1.177208302,1.920245286,3.487429555,1.741819844,0.136943495,0.221978717,2.459592709,4,1.94401174
A# Maj,0.347296426,1.394377326,2.385872124,1.206869267,1.947826883,3.523255092,1.790915318,0.155820743,0.227150366,2.450066344,4,1.921915557
A# Maj,0.390167619,1.398688596,2.399830978,1.260587373,1.963559807,3.570356166,1.81392177,0.208795273,0.276550574,2.473673772,4,2.011983038
A# Maj,0.59047825,1.547343511,2.332272647,1.42441524,2.16293739,3.577913216,1.912096244,0.408621472,0.527151482,2.524561793,4,2.173079802
A# Maj,0.847900114,1.673961774,1.985072519,1.693868591,2.183816224,3.728524812,1.757867786,0.867122268,1.194938146,2.508496276,3.740740163,2.598304657
A# Maj,0.700930891,1.372998794,1.726546306,1.718263731,2.123024972,3.212267298,2.198115815,0.584838956,0.658798092,2.928526814,4,1.732662888
A# Maj,0.556442366,1.305385901,2.029562812,1.248606935,2.094246413,3.48598851,1.877538408,0.241992788,0.377129251,2.613871697,4,1.961433284
A# Maj,0.421981722,1.305765338,2.114615714,1.104690802,1.998619066,3.524830875,1.762062183,0.151693627,0.284319261,2.467059356,4,1.981157574
A# Maj,0.367171535,1.279484061,2.122589649,1.112882312,1.970825094,3.493498447,1.732261457,0.137936091,0.270588276,2.45162951,4,1.942690703
A# Maj,0.342076457,1.258349776,2.143647632,1.111893099,1.962926064,3.469797536,1.727834705,0.135922384,0.255079445,2.460739844,4,1.95341501
A# Maj,0.326682819,1.281186676,2.165075693,1.106140449,1.938205485,3.499407954,1.743472559,0.143472612,0.245783382,2.441057702,4,1.920180566
A# Maj,0.316213488,1.242402454,2.153298855,1.077426685,1.918948274,3.430210906,1.710939341,0.149130937,0.234797226,2.481218166,4,1.909202575
A# Maj,0.326794104,1.274321196,2.17062878,1.082957897,1.927469861,3.441218836,1.700872893,0.134220142,0.22576861,2.432394772,4,1.952963779
A# Maj,0.322632832,1.265679327,2.149911975,1.099223251,1.897067493,3.398928259,1.654931694,0.125644752,0.223217951,2.444655308,4,1.895329103
A# Maj,0.338058116,1.282272008,2.164744857,1.109483291,1.913134344,3.367043618,1.644773788,0.125363755,0.226679547,2.448087077,4,1.923137946
A# Maj,0.352826554,1.30457718,2.190932161,1.118142476,1.907543232,3.379794155,1.664395346,0.12925259,0.234927574,2.443383997,4,1.93976149
A# Maj,0.374446576,1.308456026,2.223163324,1.135236089,1.906387403,3.384276387,1.70402738,0.191159755,0.286929937,2.494489669,4,1.926947108
A# Maj,0.57263785,1.430693663,2.259301812,1.339933867,2.049391412,3.479063583,1.900335797,0.326012919,0.48013863,2.480252377,4,2.230259353
A# Maj,0.899253989,1.406388739,2.058634889,1.807793519,1.9713339,3.277995362,2.218926199,0.691270971,0.829506468,2.304361912,4,2.729621028
A# Maj,1.173247065,1.215456535,1.280843511,1.070301158,1.361954353,1.506743405,1.102217441,0.792474657,1.247696597,3.16062587,3.457651572,2.417651792
A# Maj,0.763530385,1.159082718,1.342706374,0.857385808,1.019056617,1.574605597,1.045716005,0.515205482,0.755994576,2.752890297,4,2.254811416
